path_no,x(m),y(m)
0,4.02224486193e-05,0.000124944530912
1,4.11289548209e-05,0.000127592670211
2,4.20355435238e-05,0.00013024105099
3,4.29422147163e-05,0.000132889673266
4,4.38489683864e-05,0.000135538537057
5,4.47558045222e-05,0.000138187642379
6,4.5662723112e-05,0.000140836989251
7,4.65697241439e-05,0.00014348657769
8,4.74768076059e-05,0.000146136407713
9,4.83839734862e-05,0.000148786479337
10,4.92912217729e-05,0.000151436792581
11,5.01985524541e-05,0.000154087347461
12,5.11059655179e-05,0.000156738143995
13,5.20134609525e-05,0.0001593891822
14,5.29210387459e-05,0.000162040462094
15,5.38286988861e-05,0.000164691983694
16,5.47364413614e-05,0.000167343747017
17,5.56442661597e-05,0.000169995752081
18,5.65521732691e-05,0.000172647998903
19,5.74601626777e-05,0.000175300487501
20,5.83682343737e-05,0.000177953217891
21,5.92763888805e-05,0.000180606191761
22,6.01846265168e-05,0.000183259410326
23,6.10929466778e-05,0.000185912871821
24,6.20013493487e-05,0.000188566576254
25,6.29098348531e-05,0.000191220524649
26,6.38184034453e-05,0.000193874717746
27,6.4727053931e-05,0.000196529151996
28,6.56357864014e-05,0.00019918382786
29,6.65446011817e-05,0.00020183874639
30,6.74534982603e-05,0.000204493907605
31,6.8362477625e-05,0.000207149311523
32,6.92715392635e-05,0.000209804958159
33,7.01806831636e-05,0.000212460847531
34,7.1089909313e-05,0.000215116979656
35,7.19992183125e-05,0.000217773356469
36,7.29086099831e-05,0.000220429977587
37,7.38180840682e-05,0.000223086842282
38,7.47276405554e-05,0.000225743950571
39,7.56372794328e-05,0.000228401302471
40,7.65470006622e-05,0.000231058897994
41,7.74567973494e-05,0.000233716728745
42,7.83666684233e-05,0.000236374800875
43,7.92766142536e-05,0.000239033115572
44,8.01866348287e-05,0.000241691672853
45,8.10967301369e-05,0.000244350472734
46,8.2006900166e-05,0.000247009515231
47,8.29171449043e-05,0.00024966880036
48,8.38274643401e-05,0.000252328328137
49,8.47378584613e-05,0.000254988098578
50,8.56483272729e-05,0.000257648111747
51,8.65588707549e-05,0.000260308367637
52,8.74694888931e-05,0.000262968866254
53,8.83801816757e-05,0.000265629607616
54,8.92909490909e-05,0.000268290591738
55,9.02017875048e-05,0.000270951814032
56,9.11126950101e-05,0.000273613276823
57,9.20236721005e-05,0.000276274981704
58,9.29347187651e-05,0.000278936928692
59,9.38458349922e-05,0.000281599117803
60,9.47570207703e-05,0.000284261549053
61,9.56682760878e-05,0.000286924222456
62,9.65796009332e-05,0.000289587138029
63,9.74909952948e-05,0.000292250295788
64,9.84024591612e-05,0.000294913695747
65,9.93139925208e-05,0.000297577337923
66,0.000100225595362,0.000300241222332
67,0.000101137267682,0.000302905348949
68,0.00010204900951,0.000305569717811
69,0.000102960820836,0.000308234328937
70,0.000103872701648,0.000310899182341
71,0.000104784651935,0.000313564278039
72,0.000105696671685,0.000316229616048
73,0.000106608760886,0.000318895196382
74,0.000107520919526,0.000321561019058
75,0.000108433147595,0.000324227084091
76,0.000109345445081,0.000326893391498
77,0.000110257811972,0.000329559941293
78,0.000111170248256,0.000332226733493
79,0.000112082753479,0.000334893766956
80,0.000112995327727,0.000337561042271
81,0.000113907971068,0.000340228559698
82,0.000114820683489,0.000342896319252
83,0.00011573346498,0.000345564320949
84,0.000116646315528,0.000348232564805
85,0.000117559235122,0.000350901050834
86,0.00011847222375,0.000353569779053
87,0.000119385281401,0.000356238749476
88,0.000120298408062,0.000358907962121
89,0.000121211603723,0.000361577417002
90,0.000122124868372,0.000364247114134
91,0.000123038202371,0.00036691705468
92,0.000123951606337,0.000369587240593
93,0.000124865079585,0.000372257669845
94,0.000125778622099,0.000374928342431
95,0.000126692233868,0.000377599258378
96,0.000127605914973,0.000380270417966
97,0.000128519665404,0.000382941821211
98,0.000129433485103,0.000385613467983
99,0.000130347374059,0.000388285358297
100,0.000131261332258,0.000390957492168
101,0.00013217535969,0.00039362986961
102,0.000133089456341,0.00039630249064
103,0.000134003622202,0.000398975355271
104,0.000134917857258,0.00040164846352
105,0.000135832161499,0.0004043218154
106,0.00013674653563,0.000406995413121
107,0.000137660979367,0.000409669255877
108,0.000138575492506,0.000412343343091
109,0.000139490075033,0.000415017674777
110,0.000140404726938,0.000417692250952
111,0.000141319448209,0.000420367071631
112,0.000142234238139,0.000423042135808
113,0.000143149091605,0.000425717439464
114,0.000144064009002,0.000428392986997
115,0.000144978990354,0.000431068778525
